DIRECTORIO,PER,PERIODO,MES,DPTO,P3271,P6040,P6080,P3042,P7495,RAMA2D_R4
8038184,2024,20241252,12,15,1,50,6,3.0,2,1.0
8038184,2024,20241252,12,15,1,50,6,3.0,2,1.0
8038184,2024,20241252,12,15,1,50,6,3.0,2,1.0
8038184,2024,20241252,12,15,2,49,6,4.0,2,1.0
8038184,2024,20241252,12,15,2,49,6,4.0,2,1.0
8038184,2024,20241252,12,15,2,49,6,4.0,2,1.0
8038184,2024,20241252,12,15,2,15,6,5.0,2,1.0
8038184,2024,20241252,12,15,2,15,6,5.0,2,1.0
8038184,2024,20241252,12,15,2,15,6,5.0,2,1.0
8038184,2024,20241252,12,15,1,4,6,2.0,2,1.0
8038184,2024,20241252,12,15,1,4,6,2.0,2,1.0
8038184,2024,20241252,12,15,1,4,6,2.0,2,1.0
8038186,2024,20241252,12,15,2,74,6,3.0,2,1.0
8038186,2024,20241252,12,15,2,74,6,3.0,2,1.0
8038186,2024,20241252,12,15,2,74,6,3.0,2,1.0
8038186,2024,20241252,12,15,2,32,6,3.0,2,1.0
8038186,2024,20241252,12,15,2,32,6,3.0,2,1.0
8038186,2024,20241252,12,15,2,32,6,3.0,2,1.0
8038186,2024,20241252,12,15,1,15,6,4.0,2,1.0
8038186,2024,20241252,12,15,1,15,6,4.0,2,1.0
8038186,2024,20241252,12,15,1,15,6,4.0,2,1.0
8038186,2024,20241252,12,15,2,14,6,4.0,2,1.0
8038186,2024,20241252,12,15,2,14,6,4.0,2,1.0
8038186,2024,20241252,12,15,2,14,6,4.0,2,1.0
8038187,2024,20241252,12,15,1,63,6,3.0,2,5.0
8038187,2024,20241252,12,15,1,63,6,3.0,2,5.0
8038187,2024,20241252,12,15,2,56,6,3.0,2,5.0
8038187,2024,20241252,12,15,2,56,6,3.0,2,5.0
8038188,2024,20241252,12,15,2,37,6,6.0,2,5.0
8038188,2024,20241252,12,15,2,37,6,6.0,2,5.0
8038188,2024,20241252,12,15,2,37,6,6.0,2,5.0
8038188,2024,20241252,12,15,1,31,6,3.0,2,5.0
8038188,2024,20241252,12,15,1,31,6,3.0,2,5.0
8038188,2024,20241252,12,15,1,31,6,3.0,2,5.0
8038188,2024,20241252,12,15,2,17,6,6.0,2,5.0
8038188,2024,20241252,12,15,2,17,6,6.0,2,5.0
8038188,2024,20241252,12,15,2,17,6,6.0,2,5.0
